Bug_id, Number of Functions, total cyclomatic complexity, total lines of code,total token_count,total parameters
384108,60.0,292.0,936.0,6034.0,69.0
385394,42.714285714285715,148.28571428571428,580.5714285714286,3731.0,40.857142857142854
423588,49.0,94.0,302.0,1686.0,27.0
420238,30.0,158.0,790.0,6938.0,72.0
405216,33.0,137.0,551.0,3719.0,22.0
413943,0,0,0,0,0
423495,25.0,42.0,178.0,1004.0,21.0
236006,8.666666666666666,13.0,39.333333333333336,206.0,9.0
424252,48.0,108.0,992.0,6604.0,26.0
423892,1.6666666666666667,4.333333333333333,16.0,117.33333333333333,0.6666666666666666
423725,18.0,77.0,267.0,1628.0,16.0
423040,20.0,59.0,257.0,1486.0,27.0
413096,139.0,429.0,1982.0,12747.0,93.0
423768,30.0,122.0,444.0,2875.0,38.0
423718,31.0,182.0,605.0,4672.0,36.0
423748,14.0,56.0,231.0,1645.0,28.0
420972,7.4,27.733333333333334,99.8,648.3333333333334,7.066666666666666
412479,16.75,57.0,217.5,1409.5,18.0
416746,41.0,113.0,403.0,2864.0,45.0
417399,30.0,246.0,941.0,6146.0,34.0
369884,19.0,96.0,483.0,3043.0,21.0
410049,51.0,127.0,459.0,3189.0,103.0
422533,139.0,424.0,1968.0,12637.0,93.0
418859,41.0,112.0,401.0,2840.0,45.0
397872,60.0,292.0,935.0,6030.0,69.0
420951,30.0,157.0,777.0,6930.0,72.0
395161,7.0,18.0,61.0,387.0,3.0
409834,60.0,292.0,933.0,6001.0,69.0
398381,31.0,136.5,528.5,3419.0,43.0
421764,4.5,7.0,49.0,377.5,3.5
421725,100.0,259.0,884.0,4964.0,114.0
418254,37.0,275.0,1018.0,7280.0,55.0
415522,19.0,44.0,259.0,1806.0,18.0
419710,4.0,12.0,39.0,228.0,6.0
418910,7.299212598425197,11.535433070866143,36.99212598425197,206.82677165354332,8.393700787401574
396296,32.0,98.0,322.0,2010.0,37.0
420835,10.0,30.0,112.0,940.0,18.0
